ID,NAME,NUM,DATE,RECORD,STATUS,LAT,LONG,WIND,PRESS
AL011851,UNNAMED,14,1851/06/25-00:00,,HU,28.0N,94.8W,80,-999
AL011851,UNNAMED,14,1851/06/25-06:00,,HU,28.0N,95.4W,80,-999
AL011851,UNNAMED,14,1851/06/25-12:00,,HU,28.0N,96.0W,80,-999
AL011851,UNNAMED,14,1851/06/25-18:00,,HU,28.1N,96.5W,80,-999
AL011851,UNNAMED,14,1851/06/25-21:00,L,HU,28.2N,96.8W,80,-999
AL011851,UNNAMED,14,1851/06/26-00:00,,HU,28.2N,97.0W,70,-999
AL011851,UNNAMED,14,1851/06/26-06:00,,TS,28.3N,97.6W,60,-999
AL011851,UNNAMED,14,1851/06/26-12:00,,TS,28.4N,98.3W,60,-999
AL011851,UNNAMED,14,1851/06/26-18:00,,TS,28.6N,98.9W,50,-999
AL011851,UNNAMED,14,1851/06/27-00:00,,TS,29.0N,99.4W,50,-999
AL011851,UNNAMED,14,1851/06/27-06:00,,TS,29.5N,99.8W,40,-999
AL011851,UNNAMED,14,1851/06/27-12:00,,TS,30.0N,100.0W,40,-999
AL011851,UNNAMED,14,1851/06/27-18:00,,TS,30.5N,100.1W,40,-999
AL011851,UNNAMED,14,1851/06/28-00:00,,TS,31.0N,100.2W,40,-999
AL021851,UNNAMED,1,1851/07/05-12:00,,HU,22.2N,97.6W,80,-999
AL031851,UNNAMED,1,1851/07/10-12:00,,TS,12.0N,60.0W,50,-999
AL041851,UNNAMED,49,1851/08/16-00:00,,TS,13.4N,48.0W,40,-999
AL041851,UNNAMED,49,1851/08/16-06:00,,TS,13.7N,49.5W,40,-999
AL041851,UNNAMED,49,1851/08/16-12:00,,TS,14.0N,51.0W,50,-999
AL041851,UNNAMED,49,1851/08/16-18:00,,TS,14.4N,52.8W,50,-999
AL041851,UNNAMED,49,1851/08/17-00:00,,TS,14.9N,54.6W,60,-999
AL041851,UNNAMED,49,1851/08/17-06:00,,TS,15.4N,56.5W,60,-999
AL041851,UNNAMED,49,1851/08/17-12:00,,HU,15.9N,58.5W,70,-999
AL041851,UNNAMED,49,1851/08/17-18:00,,HU,16.1N,60.4W,70,-999
AL041851,UNNAMED,49,1851/08/18-00:00,,HU,16.6N,62.5W,80,-999
AL041851,UNNAMED,49,1851/08/18-06:00,,HU,16.9N,64.1W,80,-999
AL041851,UNNAMED,49,1851/08/18-12:00,,HU,17.2N,66.0W,90,-999
AL041851,UNNAMED,49,1851/08/18-18:00,,HU,17.6N,67.6W,90,-999
AL041851,UNNAMED,49,1851/08/19-00:00,,HU,18.0N,69.3W,90,-999
AL041851,UNNAMED,49,1851/08/19-06:00,,HU,18.4N,71.1W,70,-999
AL041851,UNNAMED,49,1851/08/19-12:00,,TS,18.9N,72.6W,60,-999
AL041851,UNNAMED,49,1851/08/19-18:00,,TS,19.4N,74.3W,60,-999
AL041851,UNNAMED,49,1851/08/20-00:00,,HU,19.9N,75.9W,70,-999
AL041851,UNNAMED,49,1851/08/20-06:00,,HU,20.5N,77.6W,70,-999
AL041851,UNNAMED,49,1851/08/20-12:00,,HU,21.2N,79.0W,70,-999
AL041851,UNNAMED,49,1851/08/20-18:00,,HU,21.9N,80.4W,70,-999
AL041851,UNNAMED,49,1851/08/21-00:00,,TS,22.6N,81.4W,60,-999
AL041851,UNNAMED,49,1851/08/21-06:00,,TS,23.2N,82.5W,60,-999
